Player,Squad,Age,Minutes,Shots_90,xG_90,npxG_90,Touches_Box_90,Shots_per_Touch,Aerials_Won_Pct,Aerials_Won_90,Fouls_Drawn_90,SoT_Pct,Avg_Shot_Distance,G_minus_xG,Passes_Received_90,Key_Passes_90,Prog_Passes_Received_90,Prog_Carries_90,Carry_Distance_90,Carries_Into_Box_90
Elijah Adebayo,Luton Town,25,1419,1.97,0.37,0.37,5.19,0.38,50,2.72,1.01,45.2,9.6,4.1,21.3,14,110,1.01,26.9,13
Simon Adingra,Brighton,21,2222,2.11,0.17,0.17,6.19,0.34,40,0.32,0.77,42.3,15.9,1.7,32.2,33,278,4.49,121.3,63
Miguel Almirón,Newcastle Utd,29,1937,1.91,0.21,0.21,4,0.48,46.2,0.28,1.02,29.3,16.1,-1.5,34.5,24,162,3.63,105.9,22
Zeki Amdouni,Burnley,22,1953,2.21,0.27,0.23,3.13,0.71,21.1,0.69,1.8,43.8,17.8,-0.8,23.6,16,93,2.9,76.2,20
Michail Antonio,West Ham,33,1695,1.59,0.31,0.31,3.14,0.51,38.4,1.76,1.49,46.7,13.1,0.2,21.2,8,104,2.55,57.7,19
Antony,Manchester Utd,23,1324,2.92,0.23,0.23,3.95,0.74,8.7,0.14,2.18,34.9,18.9,-2.4,38.8,22,149,3.61,132.9,23
Taiwo Awoniyi,Nott'ham Forest,25,1042,1.9,0.41,0.41,3.71,0.51,30.4,1.81,1.38,50,11.5,1.3,18,10,45,0.69,27.6,6
Beto,Everton,25,951,3.97,0.64,0.57,6.04,0.66,45.6,4.43,1.79,28.6,14.7,-3.8,23.6,11,58,1.32,36.2,13
Jarrod Bowen,West Ham,26,3019,2.5,0.35,0.35,5.19,0.48,32,0.99,1.25,44,14.2,4.4,22.2,31,186,2.69,63.9,49
Dominic Calvert-Lewin,Everton,26,2171,2.94,0.54,0.47,5.15,0.57,48.8,5.68,1.33,39.4,13.9,-5.9,23.4,19,122,1.49,32.9,22
Bobby De Cordova-Reid,Fulham,30,1423,2.09,0.29,0.28,3.48,0.60,35.1,0.82,1.58,24.2,15.7,1.4,30.1,17,95,2.22,57,11
Luis Díaz,Liverpool,26,2629,3.22,0.41,0.41,7.5,0.43,35.1,0.89,1.44,34,15,-3.9,38.6,64,302,4.69,126.4,70
Evan Ferguson,Brighton,18,1367,2.17,0.3,0.3,2.96,0.73,41.9,0.86,1.64,60.6,15.5,1.4,22.1,6,62,0.86,27.2,5
Alejandro Garnacho,Manchester Utd,19,2565,3.51,0.29,0.29,8.7,0.40,19.4,0.21,1.89,27,15.8,-1.4,35.3,46,281,6.25,147.8,102
Anthony Gordon,Newcastle Utd,22,2890,2.49,0.32,0.29,4.58,0.54,34.6,0.28,2.09,36.3,17.3,0.8,32,57,232,4.3,114.3,59
Erling Haaland,Manchester City,23,2552,3.99,1.03,0.81,6.44,0.62,48.1,1.37,1.09,44.2,11.9,-2.2,17.2,29,126,1.23,25.6,22
Son Heung-min,Tottenham,31,2934,2.55,0.37,0.32,6.5,0.39,23.8,0.15,1.2,45.8,15.5,5,33.7,68,325,3.65,91.7,64
Rasmus Højlund,Manchester Utd,20,2158,1.58,0.32,0.32,4,0.40,27.8,1.04,1.25,52.6,11.6,2.4,17.9,28,111,1.46,45.3,14
